CID,pose_index,docking_score,num_viable_poses,rmsd_pairwise_std,rmsd_to_best_std,MWT,TPSA,logP,HBD,HBA,SMILES
Z1039088436,1,-8.479,8,0.3922839370162043,0.17180085118447158,300.4299999999995,49.25,1.2430999999999994,2,3,[H]c1nc(N2C([H])([H])C([H])([H])C([H])(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C2([H])[H])c2c([H])c([H])n([H])c2n1
Z1463055422,2,-8.417,6,0.46014902344950265,0.24494180927846043,318.37299999999965,90.65,1.2396999999999994,2,4,[H]c1c([H])c([H])c(C(=O)N([H])C2(C(=O)N([H])[H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z1887562379,1,-8.346,5,0.22861069654584312,0.18748010667049758,310.38499999999965,76.72,0.6954999999999993,2,5,[H]c1c([H])c([H])c(-n2c([H])nnc2C([H])([H])[N+]2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])c2nc([H])n([H])n2)c([H])c1[H]
Z1833516258,1,-8.259,5,0.3306321185977778,0.16819341347981473,312.3979999999997,70.67,3.5326200000000005,2,4,[H]c1c([H])c([H])c2c(nc([H])n2[H])c1N([H])C(=O)c1sc(C([H])([H])C2([H])C([H])([H])C2([H])[H])nc1C([H])([H])[H]
Z195980060,4,-8.183,5,0.39540017668815175,0.2724247695667374,302.3539999999996,76.49000000000001,0.033500000000000585,2,4,[H]c1c([H])c([H])c2c(=O)n([H])c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C(=O)OC([H])([H])[H])nc2c1[H]
Z1822975975,1,-8.127,5,0.28280344211133573,0.4287768671458491,385.46399999999966,86.48,4.015600000000004,1,6,[H]c1c([H])c(C(=O)N([H])C([H])(c2nc(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])no2)C([H])([H])[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c1OC([H])([H])[H]
Z3071600379,1,-8.112,6,0.25481319778480727,0.20909607067467148,323.37399999999974,101.14999999999999,1.0913999999999995,2,5,[H]c1c(N([H])S(=O)(=O)C([H])([H])C([H])([H])OC([H])([H])C2([H])C([H])([H])C2([H])[H])c([H])c2c(=O)n([H])c([H])nc2c1[H]
Z3091154570,2,-8.111,6,0.42335213724359466,0.4198117818447951,349.3939999999997,81.92999999999999,3.8328000000000015,1,6,[H]c1nc(N([H])C(=O)c2nn(C3([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])nc([H])c1Oc1c([H])c([H])c([H])c([H])c1[H]
Z1192499493,1,-8.103,7,0.3716132714797812,0.40013332382485384,303.3179999999997,93.31,1.0572,2,5,[H]c1c(N([H])C(=O)C([H])([H])OC([H])([H])C2([H])OC([H])([H])C([H])([H])C2([H])[H])c([H])c2c(=O)n([H])c([H])nc2c1[H]
5329520,1,-8.075,5,0.40522305674226455,0.5625770332129245,255.2810000000001,89.71,1.5566,2,5,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])Oc2nc(N([H])[H])nc3nc([H])n([H])c23)c([H])c1[H]
Z1587211729,1,-8.038,5,0.18549359795734036,0.056214868549046795,303.3469999999998,100.63,1.238699999999999,2,6,[H]c1nc(N([H])C([H])([H])C([H])([H])S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c2c(n1)nc([H])n2[H]
Z4122330572,3,-8.027,5,0.2531242309467645,0.32918320707263476,356.4499999999996,84.91000000000001,1.5255999999999985,3,6,[H]c1nc(N([H])c2c([H])c([H])c(OC3([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c2[H])nc(N([H])C2([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C2([H])[H])c1[H]
Z48861625,1,-8.011,6,0.3375470640265359,0.26639546513825235,353.44699999999966,63.25,4.8461200000000035,2,5,[H]c1c([H])c([H])c(N([H])C(=O)c2sc(N([H])c3c([H])c([H])c(OC([H])([H])C([H])([H])[H])c([H])c3[H])nc2C([H])([H])[H])c([H])c1[H]
Z1381816014,1,-7.918,7,0.3251247306456402,0.2562431793609612,330.3879999999996,101.14,2.1926999999999994,2,6,[H]OC([H])([H])C([H])([H])C([H])(N([H])C(=O)c1noc(-c2c([H])nc([H])c([H])c2[H])n1)C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
Z3000762692,2,-7.905,6,0.28693762691659846,0.1227972233230735,323.3959999999996,64.11,3.1465000000000023,1,4,[H]c1nc(C([H])(N([H])C(=O)c2c([H])c([H])c([H])c([H])c2OC([H])([H])C2([H])C([H])([H])C2([H])[H])C2([H])C([H])([H])C2([H])[H])nc([H])c1[H]
Z48852930,1,-7.891,6,0.42766810872512684,0.6760460631527688,317.4139999999997,63.25000000000001,3.2947200000000016,2,5,[H]c1c([H])c([H])c(N([H])C(=O)c2sc(N([H])C([H])([H])C3([H])OC([H])([H])C([H])([H])C3([H])[H])nc2C([H])([H])[H])c([H])c1[H]
Z56840013,1,-7.749,5,0.42093024467395646,0.22168565444494825,309.37699999999967,97.44,2.7204000000000006,3,6,[H]c1c([H])c([H])c(N([H])c2c(-c3nnc4n3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(N([H])[H])nn2[H])c([H])c1[H]
